"","year","cons_or_not","pct_total"
"1",1988,0,46.7289719626168
"2",1988,1,53.2710280373832
"3",1992,0,34.8837209302326
"4",1992,1,65.1162790697674
"5",1996,0,41.8837629055423
"6",1996,1,58.1162370944577
"7",2000,0,44.7647762631807
"8",2000,1,55.2352237368193
"9",2004,0,62.014741472929
"10",2004,1,37.985258527071
"11",2008,0,33.4773779535432
"12",2008,1,66.5226220464568
"13",2012,0,50.3909232447534
"14",2012,1,49.6090767552466
"15",2016,0,63.9895973301461
"16",2016,1,36.0104026698539
